chapter,question_id,question,A,B,C,answer
5,8,"Según 2 Samuel 7:13-14, ¿qué se afirma sobre el templo y la relación de Dios con el descendiente de David?",El hijo de David construiría el templo y Dios tendría con él una relación de padre con hijo.,David mismo construiría el templo y Natán sería el sumo sacerdote permanente.,El templo se construiría en Samaria como símbolo de unidad nacional.,A
5,9,"¿Qué rasgo clave se enfatiza de la promesa a David en 2 Samuel 7:16, según la unidad?",Que duraría solo durante la vida de David.,Que dependía totalmente del poder militar de Israel.,Que el trono del linaje de David sería establecido “para siempre”.,C
5,10,"En el Salmo 2 (mencionado en la unidad), ¿cómo se presenta al rey de Jerusalén en relación con las promesas de Dios?",Como un sacerdote levita sin autoridad política.,"Como el Hijo/ungido de Dios, destinado a reinar con autoridad incluso sobre las naciones.",Como un juez temporal elegido solo para tiempos de crisis.,B
5,11,¿Qué relato se usa para mostrar el carácter pecaminoso de David y su indignidad frente a las promesas recibidas?,La historia de David y Betsabé (2 Samuel 11–12).,La travesía de Israel por el Mar Rojo (Éxodo 14).,La construcción del tabernáculo en el desierto (Éxodo 25–31).,A
5,12,"En 1 Reyes 3, ¿qué pidió Salomón a Dios al comenzar a reinar, según la unidad?",Riquezas inmediatas y fama internacional.,Larga vida por encima de todos sus enemigos.,Sabiduría/entendimiento para gobernar con justicia.,C
5,13,"Según la unidad, ¿cuál fue el logro más importante del reinado de Salomón?",La construcción del templo en Jerusalén (1 Reyes 6–8).,La conquista de Jericó por segunda vez.,El regreso del exilio babilónico.,A
5,14,"Según la síntesis de 1 Reyes 8 (oración de Salomón), ¿cuál afirmación resume mejor el significado del templo?","El templo garantizaba automáticamente la bendición, aunque el pueblo desobedeciera.",El templo se construyó en cumplimiento de promesas; es símbolo de la presencia de Dios y lugar de oración y perdón.,El templo reemplazó por completo la necesidad de escuchar la palabra de Dios.,B
5,15,"¿Qué “vestigio” del propósito global de Dios se ve en 1 Reyes 8:41-43, según la unidad?",Que Israel debía aislarse de todas las naciones para siempre.,Que solo los israelitas podrían acercarse a Dios en el templo.,Que desde el templo se divulgaría el conocimiento de Dios a todos los pueblos de la tierra.,C
5,16,¿Qué episodio se menciona como evidencia de la gloria del reino de Salomón ante otras naciones?,La expulsión de los filisteos de Canaán por Josué.,La construcción de los muros de Jerusalén por Nehemías.,La visita de la reina de Sabá (1 Reyes 10).,C
5,17,"Según 1 Reyes 11 y la unidad, ¿cuál fue la razón fundamental de la ira de Dios con Salomón?","Su corazón se desvió tras otros dioses, influido por sus mujeres extranjeras.",Se negó a construir el templo y destruyó el arca del pacto.,Rechazó por completo la sabiduría y prohibió la ley.,A
5,18,"Según la unidad, ¿cómo mitigó Dios su juicio sobre Salomón y su casa?",Eliminó de inmediato toda la dinastía de David sin excepción.,Anuló las promesas hechas a David por causa del pecado de Salomón.,No abandonó por completo a Jerusalén ni a la casa de David (por amor a David).,C
5,19,"Después de la muerte de Salomón (1 Reyes 12), ¿qué combinación corresponde al reparto del reino?",Jeroboam quedó con Judá; Roboam quedó con Israel.,Roboam quedó como rey de Judá; Jeroboam fue rey del resto de Israel.,Saúl volvió a reinar en Israel; David quedó solo con Jerusalén.,B
5,20,"¿En qué consistió el “pecado de Jeroboam” (1 Reyes 12:25-33), según la unidad?",Erigió ídolos en Betel y Dan para ofrecer una alternativa al templo de Jerusalén.,Ordenó destruir el templo y trasladar el sacerdocio a Babilonia.,Prohibió toda adoración en Israel por motivos de pureza.,A
5,21,"Según la unidad, ¿por qué los profetas son figuras centrales en 1 y 2 de Reyes?",Porque reemplazan a los reyes y gobiernan políticamente el país.,Porque el curso de la historia se entiende a la luz de la palabra de Dios que ellos anuncian.,Porque escriben la mayor parte de los salmos usados en la coronación.,B
5,22,"Según 2 Reyes 17:13 (mencionado en la unidad), ¿cuál era la función básica de los profetas?",Decorar el templo y dirigir los sacrificios diarios como sacerdotes.,Seleccionar reyes por votación popular en cada generación.,Advertir y llamar al pueblo a volver a Dios y obedecer sus mandamientos.,C
5,23,"Según la unidad, ¿qué sintetiza mejor el mensaje de Amós al reino del norte?","Un anuncio de juicio y “fin” para Israel, aunque con esperanza ligada a las promesas a David (Am 8:2; 9:11-15).",Un llamado a abandonar la ley de Dios por ser demasiado estricta.,Una invitación a trasladar el templo a Dan y Betel.,A
5,24,"Según la unidad, ¿qué destaca Oseas (por ejemplo en Oseas 11) sobre la relación de Dios con Israel?",Solo condenación sin posibilidad de restauración.,"El amor de Dios despreciado por el pueblo, con juicio real, pero sin que sea el fin definitivo.","Que Israel nunca pecó realmente, solo fue incomprendido por los profetas.",B
5,25,"Según 2 Reyes 23:26-27 (mencionado en la unidad), ¿por qué las reformas de Josías no evitaron el juicio final sobre Judá?",Porque no pudieron eliminar la culpa acumulada por la maldad de Manasés.,Porque Josías fue peor que Manasés y provocó mayor idolatría.,"Porque Judá fue juzgada solo por razones económicas y militares, no espirituales.",A
6,1,"Según la Unidad 6, ¿qué pregunta surge tras el fracaso de Israel descrito en la unidad anterior?",¿Cambiaría Dios de idea?,¿Qué idioma hablaban originalmente los patriarcas?,¿Cuántos años exactos duró la construcción del templo de Salomón?,A
6,2,"En la Unidad 6, el exilio se presenta como juicio porque el pueblo:",Nunca recibió un pacto de parte de Dios.,Quebrantó repetidas veces el pacto y debía ser excluido de la tierra y de la bendición.,"Fue demasiado débil militarmente para defenderse, sin relación con su obediencia.",B
6,3,¿Qué advertencia del Pentateuco se menciona como marco para entender la exclusión de la tierra?,Deuteronomio 28:58-68.,Génesis 1:1-3.,Salmo 23:1-6.,A
6,4,"Según la unidad, ¿qué se realza especialmente en esta época respecto a los líderes de Israel?",El éxito perfecto de los reyes en guiar al pueblo.,El fracaso de los reyes en conducir al pueblo por los caminos de Dios.,La ausencia total de reyes en Jerusalén desde David.,B
6,5,"En el ‘patrón de la restauración’, ¿qué propósito tendría el exilio para el pueblo?",Que Dios pudiera darles un corazón para conocerlo.,Que aprendieran nuevas técnicas agrícolas de Babilonia.,Que dejaran de ser pueblo y se disolvieran entre las naciones.,A
6,6,"Según la unidad, cuando los profetas hablan de la renovación del propósito de Dios, lo hacen:","Con ideas totalmente nuevas, sin relación con la historia de Israel.",En términos de un regreso a las estructuras del reino reveladas desde el éxodo hasta Salomón.,Solo con profecías numéricas sobre fechas y calendarios.,B
6,7,"¿Cuál es la “gran diferencia” de la historia futura respecto del pasado, según el texto citado?",Que ninguna de las debilidades del pasado estará presente y el pecado será erradicado.,Que Israel regresará a Egipto para repetir literalmente el éxodo.,Que la ley de Dios será abolida para siempre en toda circunstancia.,A
6,8,"Según la Unidad 6, como resultado del proceso de renovación:",Los gentiles serían atraídos para compartir las bendiciones prometidas a Israel.,Las naciones serían excluidas para siempre de toda bendición.,Israel dejaría de tener cualquier rol en el plan de Dios.,A
6,9,"En el ‘nuevo éxodo’ (Is 40:1-11), el primer elemento destacado es:",La conquista militar de Babilonia por Israel.,La liberación del cautiverio del pueblo de Dios en Babilonia.,La construcción inmediata del templo en Jerusalén antes del regreso.,B
6,10,"En el nuevo éxodo, ¿cómo se describe el viaje desde Babilonia a Palestina?","Como una repetición del éxodo desde Egipto bajo la dirección de Moisés, como si fuera un sendero a través del mar.",Como un viaje marítimo comercial organizado por Fenicia.,Como una migración sin intervención de Dios.,A
6,11,"Según la Unidad 6, el ‘camino en el desierto’ enfatiza que:",Dios formará un camino y proveerá milagrosamente lo necesario durante el recorrido.,El desierto no aparece en ninguna profecía de restauración.,El pueblo deberá depender únicamente de sus recursos sin ayuda divina.,A
6,12,¿Qué resultado menciona la unidad sobre este gran acto de redención respecto a Dios?,Solo Israel lo notará; las naciones no verán nada.,Dios será glorificado por su pueblo y por las naciones que ven la redención.,La redención disminuirá la gloria de Dios para evitar orgullo humano.,B
6,13,"En Isaías 42–53, la figura llamada ‘mi siervo’ se presenta a veces como:",Un ángel sin relación con Israel.,"Israel mismo, y otras veces como una persona elegida por Dios para rescatar al remanente.",El faraón de Egipto como símbolo de poder.,B
6,14,"Según Isaías 45:1-7 citado, ¿a quién usaría Dios de manera extraña para hacer regresar a su pueblo a Palestina?","A Ciro, rey de Persia, aunque él no reconozca a Dios.","A Nabucodonosor, rey de Babilonia, como salvador final.","A Herodes, rey de Judea, para restaurar el templo.",A
6,15,¿Por qué la obra del Siervo va más allá de lo que pudiera hacer Ciro?,Porque el Siervo solucionará el problema del pecado del pueblo de Dios.,Porque el Siervo construirá un imperio político mundial.,Porque el Siervo reemplazará la necesidad de perdón.,A
6,16,¿Qué aspecto del Siervo se presenta como un misterio decisivo en Isaías 53?,Que morirá para llevar a cabo su obra.,Que nunca sufrirá ni enfrentará oposición.,Que será coronado en Babilonia como rey persa.,A
6,17,"Según la unidad, el ‘nuevo pacto’ (Jer 31:31-34) hace posible que el pueblo:",Obedezca por fuerza externa sin transformación interna.,"Tenga un nuevo corazón y un nuevo espíritu, con el Espíritu de Dios en ellos para andar en sus caminos.",Abandone totalmente la ley de Moisés como irrelevante.,B
6,18,La base de esta renovación interna incluye la promesa:,"“Perdonaré la maldad de ellos, y no me acordaré más de su pecado”.",“Nunca más habrá necesidad de arrepentimiento”.,“La idolatría será aprobada para unir a las naciones”.,A
6,19,"En la sección ‘un nuevo rey’ (Is 11:1-12), el rey prometido es descrito como:","Una vara del tronco de Isaí, ungida con el Espíritu de Dios para regir con sabiduría y justicia.",Un sucesor de Ciro elegido por estrategia militar.,Un sacerdote levita que reemplazará por completo la casa de David.,A
6,20,"Según la unidad, el dominio de este rey produciría:",Una armonía semejante al huerto del Edén.,Una expansión del exilio hacia más territorios.,Una separación definitiva entre creación y humanidad.,A
6,21,"La unidad enseña que Dios es el verdadero pastor de su pueblo, pero expresará su dominio por medio de:",Un nuevo rey descendiente de David que pastoree al pueblo.,Una alianza permanente con Babilonia.,La eliminación de todo liderazgo en Israel.,A
6,22,"Según la unidad, la esperanza de los profetas era que Dios restableciera el pacto a través de alguien que:",Reflejara el carácter y gobierno de Dios.,Fuera elegido solo por apariencia y prestigio humano.,No tuviera relación con la línea de David.,A
6,23,¿Qué significa el nombre ‘Emanuel’ y qué indica en relación al hijo prometido de David (Is 7:13-14)?,Significa ‘Dios está con nosotros’ e indica una garantía de la presencia permanente de Dios y continuidad del pacto.,Significa ‘Dios nos abandona’ e indica el fin definitivo del pacto.,Significa ‘Dios es lejano’ e indica que Dios no habitará con su pueblo.,A
6,24,"Según la unidad, ¿cuál de estas afirmaciones resume mejor cómo los gentiles participarían de la salvación?",Serían atraídos para compartir la bendición: el Siervo sería luz a las naciones y las naciones vendrían a Sión/Jerusalén.,Serían excluidos para siempre por no pertenecer a Israel.,Solo podrían participar adoptando primero la ciudadanía persa.,A
6,25,"Después del exilio (a partir de 538 a. C.), ¿qué describe la unidad como una realidad histórica y su evaluación teológica?","Los exiliados regresan, reconstruyen con oposición y estímulo profético; aun así, el cumplimiento es solo una sombra y se espera más.",No hubo regreso ni reconstrucción; todo terminó definitivamente en Babilonia.,El retorno trajo inmediatamente la plenitud final sin necesidad de esperar nada más.,A
7,1,¿A quién dirige Lucas su obra al inicio del Evangelio (Lc 1:1-4)?,A Teófilo.,A Tito.,A Timoteo.,A
7,2,"Según la unidad, ¿qué característica distingue a Lucas entre los escritores del NT?",Solo escribió cartas y no narraciones.,Relata con extensión semejante la historia del Jesús terrenal y la actividad del Señor resucitado en/por los discípulos.,Es el único que no menciona el reino de Dios.,B
7,3,"Según la unidad, ¿por qué el libro de Hechos es tan importante para entender el NT?",Porque reemplaza los Evangelios.,Porque abarca el periodo en que se escribió el resto del NT y sin él sabríamos poco del apóstol Pablo.,Porque fue escrito antes del Antiguo Testamento.,B
7,4,"En Lc 1:1-4, Lucas declara que su intención es presentar:","Un relato ordenado y bien documentado del ministerio de Jesús, basado en testigos oculares y ministros de la palabra.",Una colección de proverbios sin orden.,Un resumen breve sin referencias a fuentes.,A
7,5,"Según la unidad, la repentina aparición de anuncios proféticos (María, Zacarías, Simeón) y mensajes de ángeles en Lc 1–2 anuncian:",La llegada de la era del Mesías.,El fin definitivo de toda promesa.,El inicio del exilio en Babilonia.,A
7,6,"En las narraciones de la infancia, Jesús es presentado como:",Un líder político elegido por Roma.,El rey prometido del linaje de David y “Cristo el Señor”.,Un profeta menor sin relación con David.,B
7,7,"Según la unidad, los israelitas devotos que buscaban la “consolación” o “redención” de Israel (Lc 2:25,38) reflejan que:",Esperaban que el exilio terminara.,Creían que ya no existía pecado.,Rechazaban toda esperanza de salvación.,A
7,8,La venida de Jesús significaba salvación y gloria para Israel y también:,"“Luz para revelación a los gentiles”, cumpliendo profecías como Isaías 49:5-6.",Solo beneficio para una élite religiosa.,La desaparición total de las naciones.,A
7,9,"Cuando Lucas dice que “vino la palabra de Dios” a Juan en el desierto (Lc 3:2), la unidad señala que esto indica:",Un llamado profético similar al de los profetas del AT.,Un mensaje filosófico sin relación con el AT.,Un hecho simbólico sin contenido histórico.,A
7,10,"Según la unidad, el ministerio de Juan el Bautista fue único porque se le llamó a:","Hacer preparativos para la última venida de Dios en juicio y salvación, cumpliendo Isaías 40:3-5.",Fundar un imperio militar en Judea.,Sustituir a Jesús en el plan de Dios.,A
7,11,Juan predicó “bautismo del arrepentimiento para perdón de pecados” ofreciendo la oportunidad de huir de:,La “ira venidera”.,La pobreza material exclusivamente.,La persecución romana únicamente.,A
7,12,Juan anunció que vendría uno que bautizaría:,Solo con agua.,“En Espíritu Santo y fuego”.,Con aceite y vino.,B
7,13,"Según el texto, las valientes predicaciones de Juan lo llevaron a ser:",Corregado con riquezas y honor.,Encarcelado por Herodes.,Coronado como rey en Jerusalén.,B
7,14,La genealogía de Lc 3:23-38 relaciona a Jesús con Adán y enfatiza:,"Su importancia universal para toda la raza humana, no solo para la semilla de Abraham.",Que Jesús no tiene conexión con la historia humana.,Que el mensaje de Jesús es solo para Galilea.,A
7,15,"Según la unidad, el mensaje acerca de Jesús y lo que logró debe anunciarse:",Solo dentro de Israel.,"En todas las naciones, comenzando desde Jerusalén (Lc 24:47).","Solo en Babilonia, comenzando desde el desierto.",B
7,16,El relato de las tentaciones (Lc 4:1-13) muestra que Jesús vino para:,Derrotar al diablo y a todo poder que esclavizara al pueblo de Dios.,Evitar toda confrontación espiritual.,Enseñar que el pecado no existe.,A
7,17,"Según el texto, cuando Jesús expulsa demonios declara que:","“Si por el dedo de Dios echo yo fuera los demonios, ciertamente el reino de Dios ha llegado a vosotros” (Lc 11:20).",El reino de Dios está cancelado.,Los milagros no tienen relación con el reino.,A
7,18,"Después de la tentación, Jesús regresó a Galilea:",En el poder del Espíritu (Lc 4:14).,Sin el Espíritu y sin mensaje.,Para abandonar su misión.,A
7,19,"En Nazaret, Jesús leyó Isaías 61:1-2 y afirmó:",“Hoy se ha cumplido esta Escritura delante de vosotros”.,“Esta Escritura no se cumplirá jamás”.,“Esta Escritura es solo para el pasado”.,A
7,20,"Según la unidad, en su contexto original Isaías 61 se dirigía a exiliados en Babilonia (“los pobres”), pero aplicado al tiempo de Jesús significa que el Siervo vino a proclamar libertad a los oprimidos por:",Los efectos del pecado y del poder de Satanás.,La falta de agricultura y comercio.,El exceso de leyes civiles.,A
7,21,La unidad señala que la prioridad de Jesús era:,Predicar el reino de Dios (Lc 4:42-44).,Formar un ejército.,Evitar hablar del reino.,A
7,22,"Jesús resume su ministerio en Lc 7:22 con señales que recuerdan a Isaías, como:",“Los ciegos ven… los muertos son resucitados… a los pobres es anunciado el evangelio”.,“Los mares se secan… las montañas desaparecen…”.,“Todos los enemigos mueren al instante”.,A
7,23,"Según la unidad, tras confesar los discípulos que Jesús es “el Cristo de Dios” (Lc 9:20), Jesús enseña:",Que su sufrimiento y muerte no tienen sentido.,"La necesidad de su sufrimiento y su muerte, y llama a los discípulos a compartir el sufrimiento (Lc 9:21-27).",Que el reino ya está consumado plenamente.,B
7,24,"En Lc 2:7–2:8 (según la unidad), la última cena y la pascua enseñan que:",La pascua deja de ser importante para siempre sin relación con Jesús.,La muerte de Jesús es un nuevo acto de redención que inaugura el nuevo pacto (Jer 31:31-34).,La redención ocurre solo por esfuerzo humano.,B
7,25,"Según la unidad, la resurrección y la ascensión de Jesús culminan en una comisión para:","Predicar en su nombre el arrepentimiento y el perdón de pecados en todas las naciones, comenzando desde Jerusalén, con poder del Espíritu.",Permanecer en silencio y no testificar.,Volver inmediatamente a Egipto.,A
8,1,"Según la unidad, ¿qué muestra el libro de Hechos en relación con el propósito de Dios de bendecir a toda la humanidad?",Cómo el evangelio se expande desde Jerusalén hacia las naciones.,Cómo Israel elimina toda influencia extranjera mediante conquistas.,Cómo el Antiguo Testamento reemplaza al Nuevo Testamento.,A
8,2,"Según la unidad, ¿qué frase resume el movimiento del evangelio en Hechos desde Jerusalén hasta Roma?","“Acerca del Señor Jesucristo, abiertamente y sin impedimento”.",“El justo por la fe vivirá”.,“Mi reino no es de este mundo”.,A
8,3,"¿Qué énfasis destaca Lucas en Hechos, según el texto, frente a las dificultades y oposición?",El triunfo de “la palabra del Señor”.,La superioridad militar de las iglesias.,La ausencia total de conflictos en la misión.,A
8,4,La unidad describe Hechos como “una presentación de diapositivas” principalmente porque:,Resume distintos avances del evangelio en secciones y etapas.,Es un libro de poesía y proverbios.,Es un libro sin narrativa ni personajes.,A
8,5,"Según la unidad, la narración de Hechos puede dividirse en cuántas partes principales (secciones) de avance a nuevas fronteras?",6,3,12,A
8,6,¿Qué patrón de testimonio se establece explícitamente en Hechos 1:8?,Jerusalén → Judea → Samaria → lo último de la tierra.,Galilea → Babilonia → Roma → Egipto.,Jerusalén → Atenas → Esparta → Troya.,A
8,7,"En la unidad, ¿qué diferencia cuantitativa se menciona entre Lucas y Hechos respecto a la mención del “reino de Dios”?",En Lucas aparece alrededor de 40 veces y en Hechos unas 8 veces.,En Lucas aparece 8 veces y en Hechos 40 veces.,En ambos aparece exactamente la misma cantidad de veces.,A
8,8,"Según la unidad, la menor frecuencia del “reino” en Hechos significa que el reino fue reemplazado por otro mensaje?","No; el mensaje del reino sigue, pero se expresa en el anuncio de Cristo y sus beneficios.",Sí; el reino fue eliminado y sustituido por moralismo.,Sí; el reino quedó reservado solo para el futuro sin relación con la misión.,A
8,9,"Según el texto, la predicación “del reino” de Pablo (Hch 20:25) incluía también:",“El evangelio de la gracia de Dios” (Hch 20:24).,Un programa de expansión militar.,La abolición total del perdón de pecados.,A
8,10,"En el esquema de un sermón de Pablo (Hch 13:16-41), ¿qué elemento aparece como conclusión sobre Jesús?",Que Jesús es el Salvador prometido de Israel.,Que Jesús es solo un maestro sin relación con las promesas.,Que Jesús anuló la historia del AT.,A
8,11,"Según el sermón de Hch 13 resumido en la unidad, ¿qué demuestra la resurrección de Jesús?",Que es el Hijo prometido (Sal 2) y el descendiente de David que no vuelve a corrupción.,Que la muerte es irreversible para todos sin excepción.,Que las promesas a David fueron canceladas.,A
8,12,"Según la unidad, ¿cuál es “la gran bendición” proclamada por medio de Cristo en Hch 13:38-41?",El perdón de los pecados para quienes creen y se vuelven a Él.,Un territorio político garantizado para Israel.,La eliminación automática de toda oposición humana.,A
8,13,La unidad sostiene que tanto Pedro como Pablo predican el reino porque se centran en:,La majestad real de Jesús (exaltación) y las bendiciones disponibles por su muerte y resurrección.,Un calendario exacto de eventos futuros.,La superioridad cultural judía sobre los gentiles.,A
8,14,"Según la unidad, ¿por qué los discípulos debían esperar en Jerusalén tras la ascensión?",Para recibir la promesa del Padre: el Espíritu Santo.,Porque no podían salir por restricciones romanas permanentes.,Para construir el templo antes de predicar.,A
8,15,La pregunta “¿restaurarás el reino a Israel en este tiempo?” (Hch 1:6) se relaciona con la expectativa de:,"Que el Mesías trajera restauración a Israel, pero Jesús redirige la comprensión hacia la misión con el Espíritu.",Que Israel regresara a Egipto de inmediato.,Que el reino fuera únicamente político y ya completo.,A
8,16,"Según la unidad, la restauración del reino comenzaría cuando los discípulos:",Recibieran al Espíritu Santo y fueran testigos hasta lo último de la tierra.,Formaran un ejército de liberación.,Conquistaran Jerusalén por la fuerza.,A
8,17,"En Pentecostés (Hch 2), el Espíritu Santo es derramado por:","El Cristo exaltado, como se había prometido.",Los líderes religiosos del templo.,El imperio romano como gesto de tolerancia.,A
8,18,"Según la unidad, hablar “en otras lenguas” en Pentecostés funcionó como:",Una señal de que la salvación se comunicaría a diversas naciones/idiomas.,Un reemplazo de la predicación del evangelio.,Una prueba de superioridad intelectual de los apóstoles.,A
8,19,"La unidad enfatiza que lo que llevó a los oyentes a creer no fueron las lenguas, sino:",La predicación que siguió (el sermón de Pedro).,El temor a castigos romanos.,La obligación cultural de asistir a festividades.,A
8,20,"Según la unidad, el sermón de Pedro en Hch 2 interpreta que se cumple:",Joel 2:28-29 (y el anuncio del “día del Señor”).,Génesis 1:1-3 exclusivamente.,Deuteronomio 34 únicamente.,A
8,21,"Según el texto, la salvación se proclama en Hch 2 en el nombre de:","Jesús, presentado como Señor y Cristo.","Moisés, como mediador final.","Ciro, como libertador mesiánico.",A
8,22,"Según la unidad, la recepción del Espíritu en Samaria (Hch 8:14-17) se vincula con:",La unidad entre cristianos samaritanos y los de Judea en una etapa clave del plan de salvación.,La separación definitiva entre Samaria y Judea.,La prohibición de que Samaria reciba el evangelio.,A
8,23,La conversión de Cornelio (Hch 10–11) es clave porque muestra:,La inclusión de gentiles en la salvación mesiánica y el testimonio a “lo último de la tierra”.,El fin de la misión a los gentiles.,Que solo los judíos podían recibir al Espíritu.,A
8,24,"En Hechos 13, desde Antioquía, ¿quiénes son enviados por el Espíritu en el primer viaje misionero a Asia Menor?",Bernabé y Saulo (Pablo).,Pedro y Juan.,Esteban y Felipe.,A
8,25,"Según la unidad, ¿qué suele ocurrir en la misión de Pablo respecto al orden de anuncio del evangelio?","Primero intenta llevar el evangelio a los judíos y luego, frente a oposición, se vuelve a los gentiles.",Solo predica a gentiles y evita sinagogas.,Solo predica en Jerusalén y no sale.,A
9,1,"Según la unidad, ¿hacia dónde se dirige toda la historia bíblica desde Génesis hasta Apocalipsis?",Hacia la restauración total de la creación bajo el gobierno de Dios.,Hacia la desaparición definitiva del mundo material.,Hacia un ciclo infinito sin propósito final.,A
9,2,La unidad afirma que la esperanza cristiana NO consiste principalmente en:,Escapar del mundo para vivir solo en una realidad espiritual.,La resurrección y la renovación de la creación.,La derrota definitiva del mal.,A
9,3,"Según el capítulo, ¿qué relación existe entre la resurrección de Jesús y la nueva creación?",La resurrección de Jesús es el inicio (primicias) de la nueva creación.,No existe ninguna relación entre ambas.,"La resurrección solo afecta a Jesús, no al resto de la creación.",A
9,4,Romanos 8:18-25 es citado para mostrar que la creación:,Gime y espera su liberación junto con los hijos de Dios.,Ya fue completamente destruida por el pecado.,No tiene relación con la redención humana.,A
9,5,"Según la unidad, ¿qué se promete respecto al cuerpo humano en la consumación final?","La resurrección corporal, no solo espiritual.",La eliminación definitiva del cuerpo.,La reencarnación en otra forma de vida.,A
9,6,La unidad enseña que la salvación final incluye:,Personas redimidas viviendo en una creación renovada.,Almas sin cuerpo en un estado eterno sin mundo.,Solo un juicio sin restauración.,A
9,7,"Según Apocalipsis 21–22, ¿qué imagen central describe el futuro definitivo?",Cielos nuevos y tierra nueva.,Un retorno al huerto del Edén sin humanidad.,Una ciudad destruida para siempre.,A
9,8,La Nueva Jerusalén desciende del cielo para indicar que:,Dios viene a habitar con la humanidad en la creación renovada.,La humanidad debe escapar de la tierra.,El cielo reemplaza completamente a la tierra.,A
9,9,"Según el capítulo, ¿qué aspecto clave se restaura plenamente en la nueva creación?",La relación entre Dios y su pueblo.,La autonomía humana sin Dios.,El dominio del mal.,A
9,10,"En Apocalipsis 21:3-4, ¿qué promesa se destaca respecto al sufrimiento?","Dios enjugará toda lágrima y no habrá más muerte, dolor ni clamor.",El sufrimiento será eterno.,El sufrimiento solo afectará a algunos pueblos.,A
9,11,La unidad recalca que el juicio final de Dios tiene como propósito principal:,Eliminar definitivamente el mal y restaurar la justicia.,Castigar sin ningún fin redentor.,Anular todas las promesas previas.,A
9,12,"Según el capítulo, ¿quiénes participan de la herencia de la nueva creación?",Los que están en Cristo.,Solo Israel étnico.,Solo seres espirituales.,A
9,13,La unidad conecta la nueva creación con el reino de Dios mostrando que:,El reino se consuma plenamente en la nueva creación.,El reino termina antes de la consumación.,El reino es solo una metáfora ética.,A
9,14,"Según el texto, la victoria final de Dios incluye:","La derrota de Satanás, la muerte y el pecado.",La convivencia eterna entre el bien y el mal.,La supremacía definitiva de los imperios humanos.,A
9,15,La unidad enfatiza que la esperanza futura motiva al creyente a:,Vivir fielmente en el presente como anticipo de la nueva creación.,Desentenderse del mundo actual.,Postergar toda obediencia hasta el futuro.,A
9,16,"Según el capítulo, ¿qué continuidad existe entre la creación original y la nueva creación?","Dios restaura y renueva, no desecha su creación.",Dios abandona completamente la creación original.,No existe ninguna continuidad entre ambas.,A
9,17,La resurrección final de los creyentes se describe como:,Una transformación gloriosa del cuerpo.,Una liberación definitiva del cuerpo.,Un evento simbólico sin realidad futura.,A
9,18,La unidad subraya que la nueva creación es:,Tanto un don futuro como una esperanza que comienza a vivirse ahora.,Exclusivamente futura sin impacto presente.,Solo una idea poética sin implicaciones reales.,A
9,19,"Según el capítulo, ¿qué rol cumple el Espíritu Santo en relación con la esperanza futura?",Es garantía y anticipo (arras) de la herencia futura.,No tiene ningún rol en la consumación.,Actúa solo en el pasado bíblico.,A
9,20,La unidad señala que la ética cristiana se basa en:,Vivir hoy conforme a la realidad futura prometida por Dios.,Adaptarse completamente a los valores del mundo.,Ignorar toda responsabilidad presente.,A
9,21,"Según Apocalipsis 22, ¿qué imagen reaparece de Génesis para mostrar restauración?",El árbol de la vida.,La torre de Babel.,El diluvio.,A
9,22,La unidad afirma que en la nueva creación:,No habrá más maldición.,La maldición continuará parcialmente.,La creación seguirá sujeta al pecado.,A
9,23,"Según el capítulo, la esperanza cristiana culmina en:",Dios habitando con su pueblo para siempre.,La autosuficiencia humana.,El olvido de la historia de la salvación.,A
9,24,La unidad concluye que la visión bíblica del futuro es:,Profundamente esperanzadora y transformadora para el presente.,Pesimista y sin impacto en la vida actual.,Solo relevante para estudios académicos.,A
9,25,"Finalmente, el capítulo recalca que la nueva creación confirma que:",Dios es fiel y cumple plenamente todas sus promesas.,Las promesas de Dios fueron simbólicas y no literales.,El plan de Dios quedó inconcluso.,A
